,詞,長度,標準症狀,備註,包含
4576,月經色紅,4,月經色紅。,,_
4577,月經色紫,4,月經色紫。,,_
4578,月經色黑,4,月經色黑。,,_
4579,記性稍弱,4,意識健忘。,新,_
4580,月經質濃,4,月經質濃。,,_
4581,上梯會喘,4,呼吸急促。,新,_
4582,月經質稀,4,月經質稀。,,_
4583,月經身痛,4,月經身痛。,,_
4584,月經身癢,4,月經身癢。,,_
4585,月經量多,4,月經量多。,,_
4586,月經閉經,4,月經閉經。,,_
4587,一日一行,4,,新,_
4588,尿酸增高,4,,新,_
4589,苔薄白濕,4,舌苔厚度薄。舌苔顏色白。舌苔濕度潤。,新,_
4590,胸口悶痛,4,胸悶。胸痛。,新,_
4591,耳膜凹陷,4,耳膜凹陷。,,_
4592,手指會麻,4,手指麻木。,新,_
4593,小指會麻,4,手小指麻。,新,_
4594,中指會麻,4,手中指麻。,新,_
4595,牙齒碎裂,4,牙齒碎裂。,,_
4596,上樓梯喘,4,呼吸急促。,新,_
4597,胸時抽痛,4,胸痛。,新,_
4598,苔稍厚白,4,舌苔厚度厚。舌苔顏色白。,新,_
4599,腳踝易麻,4,足踝麻。,新,_
4600,食後困倦,4,食後困倦。,,_
4601,食後腹脹,4,食後腹脹。,,_
4602,舌質紅點,4,舌體形體點刺。,新,_
4603,食慾亢進,4,食慾亢進。,,_
4604,食慾低落,4,食慾低落。,,_
4605,唇口乾裂,4,唇乾。唇裂。,新,_
4606,飲不下嚥,4,飲不下嚥。,,_
4607,體毛焦枯,4,體毛焦枯。,,_
4608,白帶稍有,4,？。,新,_
4609,脈止率定,4,脈止率定。,,_
4610,齒印有瘀,4,舌體形體齒痕。舌下脈顏色紫色。,新,_
4611,手腕生斑,4,手腕生斑。,,_
4612,記憶較差,4,意識健忘。,新,_
4613,腰酸酸痛,4,腰酸。腰痛。,新,_
4614,手背腫脹,4,手背腫脹。,,_
4615,牙齦出膿,4,牙齦出膿。,,_
4616,月經發熱,4,月經發熱。,,_
4617,上梯易喘,4,呼吸急促。,新,_
4618,耳內出水,4,耳內出水。,,_
4619,月經頭暈,4,月經頭暈。,,_
4620,腿部酸痛,4,腿痛。下肢酸。,新,_
4621,胸悶稍痛,4,胸悶。胸痛。,新,_
4622,手背痙攣,4,手背痙攣。,,_
4623,足掌稍痛,4,足心痛。,新,_
4624,眼睛稍痛,4,目痛。,新,_
4625,胸部酸痛,4,胸痛。,新,_
4626,胯部酸痛,4,？。,新,_
4627,腎部酸痛,4,？。,新,_
4628,腕部酸痛,4,手腕痛。,新,_
4629,脈速度快,4,脈速度快。,,_
4630,腹部酸痛,4,腹痛。,新,_
4631,脈速度慢,4,脈速度慢。,,_
4632,夜尿一行,4,,新,_
4633,膝部酸痛,4,膝酸。膝痛。,新,_
4634,頸部酸痛,4,頸項痛。,新,_
4635,項部酸痛,4,頸項痛。,新,_
4636,月經鼻衄,4,月經鼻衄。,,_
4637,小指抽痛,4,手小指痛。,新,_
4638,胃部悶脹,4,胃悶。胃脹。,新,_
4639,脈力度弱,4,脈力度弱。,,_
4640,便秘不暢,4,大便質硬。大便次少。大便不暢。,新,_
4641,經行頭痛,4,月經頭痛。,新,_
4642,月經腰痛,4,月經腰痛。,,_
4643,月經白疹,4,月經白疹。,,_
4644,胃脹悶痛,4,胃脹。胃痛。胃悶。,新,_
4645,樓梯欲喘,4,呼吸急促。,新,_
4646,耳內出血,4,耳內出血。,,_
4647,耳內流膿,4,耳內流膿。,,_
4648,陰道脫垂,4,子宮脫垂。,新,_
4649,耳內長肉,4,耳內長肉。,,_
4650,肛門出血,4,肛門出血。,,_
4651,按之濡滑,4,,新,_
4652,肛門墜脹,4,肛門墜脹。,,_
4653,肛門灼熱,4,肛門灼熱。,,_
4654,肢體痿廢,4,肢體痿廢。,,_
4655,舌稍胖大,4,舌體形體胖厚。,新,_
4656,脈利度滑,4,脈利度滑。,,_
4657,脈利度澀,4,脈利度澀。,,_
4658,右脈弦細,4,脈緊度緊。脈長度長。脈寬度細。,新,_
4659,左脈浮細,4,,新,_
4660,按之濡減,4,,新,_
4661,服西藥控,4,,新,_
4662,皮膚紫斑,4,皮膚紫斑。,,_
4663,白帶較多,4,白帶量多。,新,_
4664,雙膝酸痛,4,膝酸。膝痛。,新,_
4665,大腸瘜肉,4,,新,_
4666,二日一行,4,大便次少。,新,_
4667,夜時發熱,4,夜時發熱。,,_
4668,夜間目暗,4,夜間目暗。,,_
4669,大便不暢,4,大便不暢。,,_
4670,兩側頭痛,4,頭痛。,新,_
4671,胃不舒服,4,,新,_
4672,約3星期,4,,新,_
4673,鼻子過敏,4,,新,_
4674,口中有痰,4,咳痰。,新,_
4675,上大夜班,4,,新,_
4676,飢時腹脹,4,腹脹。？。,新,_
4677,仍易腰酸,4,腰酸。,新,_
4678,胃痛夜甚,4,胃痛。,新,_
4679,走路易喘,4,呼吸急促。,新,_
4680,少腹脹痛,4,小腹脹。小腹痛。,新,_
4681,全身潮熱,4,潮熱。,新,_
4682,痔瘡猛冒,4,痔瘡。,新,_
4683,倦怠無力,4,情緒神疲。四肢無力。,新,_
4684,苔厚黃白,4,舌苔厚度厚。舌苔顏色黃。舌苔顏色白。,新,_
4685,足跟生斑,4,足跟生斑。,,_
4686,舌淡暗紅,4,？。,新,_
4687,右脅肋痛,4,右脅痛。,新,_
4688,味覺異常,4,？。,新,_
4689,心情焦慮,4,情緒心慌。情緒煩躁。,新,_
4690,夜偶頻尿,4,夜時小便次多。,新,_
4691,抬舉無力,4,肩不舉。,新,_
4692,囟門遲閉,4,囟門遲閉。,,_
4693,髖部痙攣,4,髖部痙攣。,,_
4694,苔根白膩,4,舌苔顏色白。舌苔質地黏膩。,新,_
4695,髖部生疹,4,髖部生疹。,,_
4696,舌面稍濕,4,舌苔濕度潤。,新,_
4697,舌邊紅絳,4,舌體顏色深紅色。,新,_
4698,下腹悶脹,4,下腹脹。,新,_
4699,處置：無,4,,新,_
4700,眼睛稍癢,4,目癢。,新,_
4701,二天一次,4,大便次少。,新,_
4702,身面潮熱,4,潮熱。,新,_
4703,肩背酸痛,4,肩痛。背痛。,新,_
4704,流汗較多,4,大汗。,新,_
4705,腿酸痛麻,4,小腿酸。腿痛。腿麻。,新,_
4706,臉頰腫大,4,面浮腫。,新,_
4707,下肢水腫,4,下肢浮腫。,新,_
4708,雙腳水腫,4,下肢浮腫。,新,_
4709,稍有胖感,4,,新,_
4710,身體有胖,4,,新,_
4711,身體消瘦,4,全身消瘦。,新,_
4712,解尿不暢,4,小便不暢。,新,_
4713,髖部生斑,4,髖部生斑。,,_
4714,足微水腫,4,下肢浮腫。,新,_
4715,背部膚癢,4,背癢。,新,_
4716,口吐白沫,4,口吐白沫。,,_
4717,口角歪斜,4,口角歪斜。,,_
4718,咽癢欲咳,4,？。,新,_
4719,大便時軟,4,大便質稀。,新,_
4720,妊娠胸脹,4,妊娠胸脹。,,_
4721,大便有血,4,大便挾血。,新,_
4722,大便有通,4,,新,_
4723,小便有頻,4,小便次多。,新,_
4724,便有黏液,4,大便挾黏液。,新,_
4725,妊娠腫脹,4,妊娠腫脹。,,_
4726,妊娠腹痛,4,妊娠腹痛。,,_
4727,便未成型,4,大便質稀。,新,_
4728,小便有血,4,小便挾血。,新,_
4729,大便色黑,4,大便色黑。,,_
4730,大便色雜,4,大便色雜。,,_
4731,上臂生疹,4,上臂生疹。,,_
4732,大便色黃,4,大便色黃。,,_
4733,全身血絲,4,全身血絲。,,_
4734,便未改善,4,,新,_
4735,四肢拘急,4,四肢拘急。,,_
4736,手肘腫脹,4,手肘腫脹。,,_
4737,大便急迫,4,大便急迫。,,_
4738,四肢蠕動,4,四肢蠕動。,,_
4739,腰關節痛,4,腰痛。,新,_
4740,夜時畏寒,4,夜時畏寒。,,_
4741,早餐業者,4,,新,_
4742,頻打哈欠,4,？。,新,_
4743,大便不盡,4,大便不盡。,,_
4744,飢痛飽脹,4,？。,新,_
4745,大便不臭,4,大便不臭。,,_
4746,大便味臭,4,大便味臭。,,_
4747,大便失禁,4,大便失禁。,,_
4748,大便挾膿,4,大便挾膿。,,_
4749,足跟生疹,4,足跟生疹。,,_
4750,大便挾蟲,4,大便挾蟲。,,_
4751,大便挾血,4,大便挾血。,,_
4752,大便次多,4,大便次多。,,_
4753,大便次少,4,大便次少。,,_
4754,大便異味,4,大便異味。,,_
4755,大便色白,4,大便色白。,,_
4756,大便色紅,4,大便色紅。,,_
4757,大便色綠,4,大便色綠。,,_
4758,小便會痛,4,小便疼痛。,新,_
4759,小便會癢,4,？。,新,_
4760,四肢萎縮,4,四肢萎縮。,,_
4761,四肢腫脹,4,四肢腫脹。,,_
4762,膝部無力,4,下肢無力。,新,_
4763,解尿灼熱,4,小便灼熱。,新,_
4764,肩部酸痛,4,肩痛。,新,_
4765,腰背酸痛,4,腰酸。腰痛。背酸。背痛。,新,_
4766,舌淡紅黯,4,舌體顏色淡紅色。舌體顏色深紅色。？。,新,_
4767,頭頂生斑,4,頭頂生斑。,,_
4768,脈弱無力,4,脈力度弱。,新,_
4769,頭頂生疹,4,頭頂生疹。,,_
4770,醫護人員,4,,新,_
4771,脈長度長,4,脈長度長。,,_
4772,不能多言,4,意識懶言。,新,_
4773,手肩部痛,4,肩痛。,新,_
4774,腋脅汗出,4,腋脅汗出。,,_
4775,胃納不適,4,？。,新,_
4776,較易入眠,4,,新,_
4777,足趾腫脹,4,足趾腫脹。,,_
4778,胃脘悶脹,4,胃悶。胃脹。,新,_
4779,手腳無力,4,四肢無力。,新,_
4780,苔薄白滑,4,舌苔厚度薄。舌苔顏色白。舌苔濕度滑。,新,_
4781,苔薄黃膩,4,舌苔厚度薄。舌苔顏色黃。舌苔質地黏膩。,新,_
4782,苔薄白膩,4,舌苔厚度薄。舌苔顏色白。舌苔質地黏膩。,新,_
4783,子宮下墜,4,子宮脫垂。,新,_
4784,消化較差,4,大便質稀。大便挾食物。,新,_
4785,舌暗紅胖,4,舌體顏色紫色。舌體形體胖厚。,新,_
4786,四肢紫斑,4,四肢紫斑。,,_
4787,言語不亂,4,,新,_
4788,語音稍沉,4,情緒聲弱。,新,_
4789,陰道出血,4,陰道出血。,,_
4790,言語清亮,4,,新,_
4791,頭皮麻木,4,頭皮麻木。,,_
4792,頭面汗出,4,頭面汗出。,,_
4793,腹中痞塊,4,腹中痞塊。,,_
4794,舌苔後白,4,舌苔厚度厚。舌苔顏色白。,新,_
4795,陰道腫瘤,4,陰道腫瘤。,,_
4796,腳酸無力,4,下肢酸。下肢無力。,新,_
4797,精神較好,4,,新,_
4798,呼吸心跳,4,,新,_
4799,經行腹痛,4,月經腹痛。,新,_
4800,經行血塊,4,月經挾塊。,新,_
4801,苔白薄黃,4,舌苔厚度薄。舌苔顏色白。舌苔顏色黃。,新,_
4802,口乾稍苦,4,口乾。口苦。,新,_
4803,手足抽筋,4,四肢抽筋。,新,_
4804,無力倦怠,4,四肢無力。情緒神疲。,新,_
4805,陰道瘡瘍,4,陰道瘡瘍。,,_
4806,吞嚥困難,4,吞嚥不暢。,新,_
4807,月經提前,4,月經先期。,新,_
4808,足較無力,4,下肢無力。,新,_
4809,舌稍紅胖,4,舌體顏色紅色。舌體形體胖厚。,新,_
4810,陰道出糞,4,陰道出糞。,,_
4811,苔薄白剝,4,舌苔厚度薄。舌苔顏色白。舌苔形體全部剝落。,新,_
4812,便有不暢,4,大便不暢。,新,_
4813,大腿腫脹,4,大腿腫脹。,,_
4814,前項痙攣,4,前項痙攣。,,_
4815,足板灼熱,4,足心熱。,新,_
4816,脈長度短,4,脈長度短。,,_
4817,陰道斑疹,4,陰道斑疹。,,_
4818,喘不氣來,4,呼吸急促。,新,_
4819,口目歪斜,4,口目歪斜。,,_
4820,納可眠差,4,難眠。,新,_
4821,舌暗紅潤,4,舌體顏色紫色。舌苔濕度潤。,新,_
4822,舌苔白膩,4,舌苔顏色白。舌苔質地黏膩。,新,_
4823,舌淡紅濕,4,舌體顏色淡紅色。舌苔濕度潤。,新,_
4824,髖部腫脹,4,髖部腫脹。,,_
4825,大腿抽痛,4,大腿痛。,新,_
4826,鬚髮早白,4,鬚髮早白。,,_
4827,持續性咳,4,久咳。,新,_
4828,鼻水黏稠,4,涕質濃。,新,_
4829,經色紫黑,4,月經色黑。,新,_
4830,鬚髮焦枯,4,鬚髮焦枯。,,_
4831,陰道腫脹,4,陰道腫脹。,,_
4832,手腳骨折,4,,新,_
4833,陰部墜脹,4,陰部墜脹。,,_
4834,腳易抽筋,4,下肢拘急。,新,_
4835,夾雜食物,4,大便挾食物。,新,_
4836,目痛酸澀,4,目痛。目乾。,新,_
4837,言語滯澀,4,語聲不出。,新,_
4838,言語清楚,4,,新,_
4839,午後發熱,4,午後發熱。,,_
4840,腿易抽筋,4,？。,新,_
4841,半身偏癱,4,半身偏癱。,,_
4842,言語稍可,4,,新,_
4843,中國醫藥,4,,新,_
4844,頭頂痙攣,4,頭頂痙攣。,,_
4845,中國附醫,4,,新,_
4846,頭頂腫脹,4,頭頂腫脹。,,_
4847,少腹脹悶,4,小腹脹。,新,_
4848,體格消瘦,4,全身消瘦。,新,_
4849,颞部生斑,4,颞部生斑。,,_
4850,颞部生疹,4,颞部生疹。,,_
4851,精神尚可,4,,新,_
4852,颞部痙攣,4,颞部痙攣。,,_
4853,全身僵硬,4,四肢僵硬。,新,_
4854,颞部腫脹,4,颞部腫脹。,,_
4855,咽中易癢,4,喉癢。,新,_
4856,鬚髮脫落,4,鬚髮脫落。,,_
4857,手腳會麻,4,四肢麻木。,新,_
4858,上腹脹痛,4,上腹腫脹。上腹痛。,新,_
4859,經色暗紅,4,月經色紫。,新,_
4860,食後易飽,4,食慾低落。,新,_
4861,青筋暴露,4,青筋暴露。,,_
4862,解便困難,4,大便不暢。,新,_
4863,大便易秘,4,大便質硬。大便次少。,新,_
4864,大便易稀,4,大便質稀。,新,_
4865,前臂痙攣,4,前臂痙攣。,,_
4866,足踝生疹,4,足踝生疹。,,_
4867,多日一行,4,大便次少。,新,_
4868,活動會喘,4,呼吸急促。,新,_
4869,飢易胃痛,4,胃痛。,新,_
4870,上腹脹悶,4,上腹腫脹。,新,_
4871,四肢生瘡,4,四肢生瘡。,,_
4872,前胸痙攣,4,前胸痙攣。,,_
4873,前胸腫脹,4,前胸腫脹。,,_
4874,前臂生斑,4,前臂生斑。,,_
4875,前臂生疹,4,前臂生疹。,,_
4876,前臂腫脹,4,前臂腫脹。,,_
4877,呼吸微弱,4,呼吸微弱。,,_
4878,前陰汗出,4,前陰汗出。,,_
4879,大便日次,4,？。,新,_
4880,排便日次,4,？。,新,_
4881,解便日次,4,？。,新,_
4882,大便日行,4,？。,新,_
4883,舌苔黃厚,4,舌苔顏色黃。舌苔厚度厚。,新,_
4884,精神倦怠,4,情緒神疲。,新,_
4885,足跟腫脹,4,足跟腫脹。,,_
4886,食慾不佳,4,食慾低落。,新,_
4887,妊娠不孕,4,妊娠不孕。,,_
4888,足踝生斑,4,足踝生斑。,,_
4889,解便日行,4,？。,新,_
4890,前項生斑,4,前項生斑。,,_
4891,前項腫脹,4,前項腫脹。,,_
4892,血管外科,4,,新,_
4893,舌微暗紅,4,舌體顏色紫色。,新,_
4894,足部酸痛,4,足痛。,新,_
4895,大腿酸痛,4,大腿痛。,新,_
4896,已經改善,4,,新,_
4897,足踝痙攣,4,足踝痙攣。,,_
4898,右耳重聽,4,右耳重聽。,,_
4899,吞嚥不暢,4,吞嚥不暢。,,_
4900,呼吸不暢,4,呼吸不暢。,,_
4901,呼吸哮鳴,4,呼吸哮鳴。,,_
4902,四肢生疹,4,四肢生疹。,,_
4903,便時腹痛,4,？。,新,_
4904,前胸生斑,4,前胸生斑。,,_
4905,大便質硬,4,大便質硬。,,_
4906,大便質稀,4,大便質稀。,,_
4907,大便質黏,4,大便質黏。,,_
4908,大便量多,4,大便量多。,,_
4909,大便量少,4,大便量少。,,_
4910,大腿生斑,4,大腿生斑。,,_
4911,前項生疹,4,前項生疹。,,_
4912,排便日行,4,？。,新,_
4913,小便尚平,4,,新,_
4914,小便尿多,4,小便量多。,新,_
4915,小便尿少,4,小便量少。,新,_
4916,四肢生斑,4,四肢生斑。,,_
4917,大便時硬,4,大便質硬。,新,_
4918,不能久力,4,下肢無力。,新,_
4919,大腿生疹,4,大腿生疹。,,_
4920,咽癢而咳,4,？。,新,_
4921,舌尖稍紅,4,舌體顏色紅色。,新,_
4922,右上腹痛,4,上腹痛。,新,_
4923,血糖昇高,4,,新,_
4924,胃悶脹減,4,胃悶。胃脹。,新,_
4925,下腹痛減,4,下腹痛。,新,_
4926,上腹痛減,4,上腹痛。,新,_
4927,上腹悶減,4,上腹腫脹。,新,_
4928,治療後減,4,,新,_
4929,體重微減,4,？。,新,_
4930,喉嚨有痰,4,咽阻。,新,_
4931,肋緣疼痛,4,脅痛。,新,_
4932,夜尿一次,4,,新,_
4933,產後腰痛,4,產後腰痛。,,_
4934,皮膚白斑,4,皮膚生斑。,新,_
4935,咽中有痰,4,咽阻。,新,_
4936,腳指麻木,4,足趾麻。,新,_
4937,喜食油膩,4,,新,_
4938,排便時痛,4,？。,新,_
4939,四肢無力,4,四肢無力。,,_
4940,便微成形,4,大便質稀。,新,_
4941,舌淡紅潤,4,舌體顏色淡紅色。舌苔濕度潤。,新,_
4942,上臂腫脹,4,上臂腫脹。,,_
4943,大便易瀉,4,大便質稀。,新,_
4944,大便易硬,4,大便質硬。,新,_
4945,下腹悶減,4,下腹腫脹。,新,_
4946,大便易膝,4,,新,_
4947,小便尿黃,4,小便色黃。,新,_
4948,上腹部脹,4,上腹腫脹。,新,_
4949,大便困難,4,大便不暢。,新,_
4950,白帶量多,4,白帶量多。,,_
4951,皮膚濕疹,4,皮膚濕疹。,,_
4952,皮膚生斑,4,皮膚生斑。,,_
4953,皮膚生疹,4,皮膚生疹。,,_
4954,皮膚生瘡,4,皮膚生瘡。,,_
4955,皮膚皺癟,4,皮膚皺癟。,,_
4956,纖維囊腫,4,,新,_
4957,皮膚紅斑,4,皮膚紅斑。,,_
4958,皮膚紅疹,4,皮膚紅疹。,,_
4959,無痛分娩,4,,新,_
4960,食不下嚥,4,食慾低落。,新,_
4961,解便味重,4,大便味臭。,新,_
4962,四肢潰瘍,4,四肢潰瘍。,,_
4963,服鎮定劑,4,？。,新,_
4964,食冷腹瀉,4,大便次多。大便質稀。,新,_
4965,聽力稍差,4,重聽。,新,_
4966,妊娠嘔吐,4,妊娠嘔吐。,,_
4967,妊娠死胎,4,妊娠死胎。,,_
4968,大便易軟,4,大便質稀。,新,_
4969,呼吸痰鳴,4,呼吸痰鳴。,,_
4970,呼吸聲大,4,呼吸聲大。,,_
4971,便已稍平,4,,新,_
4972,大便已通,4,,新,_
4973,大便帶血,4,大便挾血。,新,_
4974,排便多行,4,大便次多。,新,_
4975,小便多行,4,小便次多。,新,_
4976,大便多行,4,大便次多。,新,_
4977,小便多泡,4,？。,新,_
4978,排便多次,4,大便次多。,新,_
4979,小便多次,4,小便次多。,新,_
4980,解便多次,4,大便次多。,新,_
4981,大便多次,4,大便次多。,新,_
4982,大腿痙攣,4,大腿痙攣。,,_
4983,大便有油,4,？。,新,_
4984,脈弦洪滑,4,脈緊度緊。脈長度長。脈寬度寬。脈利度滑。,脈診,
4985,舌質邊紅,4,舌體顏色紅色。,新,_
4986,解便成形,4,,新,_
4987,妊娠心煩,4,妊娠心煩。,,_
4988,妊娠咳嗽,4,妊娠咳嗽。,,_
4989,大便尚平,4,,新,_
4990,前胸生疹,4,前胸生疹。,,_
4991,呼吸急促,4,呼吸急促。,,_
4992,妊娠目眩,4,妊娠目眩。,,_
4993,妊娠浮腫,4,妊娠浮腫。,,_
4994,妊娠流產,4,妊娠流產。,,_
4995,小便有熱,4,小便灼熱。,新,_
4996,上腹腫脹,4,上腹腫脹。,,_
4997,便後帶血,4,大便挾血。,新,_
4998,上腹痙攣,4,上腹痙攣。,,_
4999,上腹生疹,4,上腹生疹。,,_
5000,上腹生斑,4,上腹生斑。,,_
5001,大便常硬,4,大便質硬。,新,_
5002,上背腫脹,4,上背腫脹。,,_
5003,上背痙攣,4,上背痙攣。,,_
5004,上背生疹,4,上背生疹。,,_
5005,餘尿不淨,4,小便不盡。,新,_
5006,上背生斑,4,上背生斑。,,_
5007,小便困難,4,小便不暢。,新,_
5008,大便多乾,4,大便質硬。,新,_
5009,下肢厥冷,4,下肢厥冷。,,_
5010,排便困難,4,大便不暢。,新,_
5011,大便多日,4,大便次少。,新,_
5012,二便尚可,4,,新,_
5013,排便尚平,4,,新,_
5014,足跟痙攣,4,足跟痙攣。,,_
5015,便已不稀,4,,新,_
5016,排便已可,4,,新,_
5017,上臂生斑,4,上臂生斑。,,_
5018,直腸脫出,4,脫肛。,新,_
5019,口角流涎,4,口角流涎。,,_
5020,關節變形,4,關節變形。,,_
5021,足踝腫脹,4,足踝腫脹。,,_
5022,身熱不揚,4,身熱不揚。,,_
5023,語音模糊,4,意識譫語。,新,_
5024,經行腰酸,4,月經腰酸。,新,_
5025,食慾旺盛,4,食慾亢進。,新,_
5026,質暗淡紅,4,？。,新,_
5027,咽中痰多,4,痰難咳出。,新,_
5028,視力模糊,4,目花。,新,_
5029,經量過多,4,月經量多。,新,_
5030,關節腫脹,4,關節腫脹。,,_
5031,膀胱無力,4,小便次多。,新,_
5032,上臂痙攣,4,上臂痙攣。,,_
5033,四肢抽筋,4,四肢抽筋。,,_
5034,四肢汗出,4,四肢汗出。,,_
5035,四肢沉重,4,四肢沉重。,,_
5036,四肢浮腫,4,四肢浮腫。,,_
5037,大便已可,4,,新,_
5038,腹部悶痛,4,腹脹。腹痛。,新,_
5039,暗織布減,4,？。,新,_
5040,小便尿濁,4,小便挾乳糜。,新,_
5041,解便尚平,4,,新,_
5042,大便已解,4,,新,_
5043,大便已暢,4,,新,_
5044,咳時尿出,4,咳時尿出。,,_
5045,大便已平,4,,新,_
5046,便時不痛,4,,新,_
5047,咳時無痰,4,咳時無痰。,,_
5048,喜向內臥,4,喜向內臥。,,_
5049,大便時乾,4,大便質硬。,新,_
5050,喜向外臥,4,喜向外臥。,,_
5051,嗅覺減退,4,嗅覺減退。,,_
5052,四肢僵硬,4,四肢僵硬。,,_
5053,四肢厥冷,4,四肢厥冷。,,_
5054,四肢強直,4,四肢強直。,,_
5055,四肢抽搐,4,四肢抽搐。,,_
5056,舌苔薄黃,4,舌苔厚度薄。舌苔顏色黃。,新,_
5057,陰囊收縮,4,陰囊收縮。,,_
5058,手腳易麻,4,四肢麻木。,新,_
5059,陰囊生瘡,4,陰囊生瘡。,,_
5060,便尿失禁,4,大便失禁。小便失禁。,新,_
5061,大便有暢,4,,新,_
5062,不易入睡,4,難眠。,新,_
5063,飯後腹脹,4,食後腹脹。,新,_
5064,全身疼痛,4,全身痛。,新,_
5065,意識幻視,4,意識幻視。,,_
5066,大便色深,4,大便色黑。,新,_
5067,大便成條,4,,新,_
5068,下腹生疹,4,下腹生疹。,,_
5069,下肢拘急,4,下肢拘急。,,_
5070,下肢沉重,4,下肢沉重。,,_
5071,解便微硬,4,大便質硬。,新,_
5072,便未成形,4,大便質稀。,新,_
5073,大便未解,4,大便次少。,新,_
5074,手腕易麻,4,手腕麻。,新,_
5075,便色正常,4,？。,新,_
5076,排便尚可,4,,新,_
5077,大便成形,4,,新,_
5078,小便尚可,4,,新,_
5079,完谷不化,4,大便挾食物。,新,_
5080,大便如常,4,,新,_
5081,全身浮腫,4,全身浮腫。,,_
5082,全身消瘦,4,全身消瘦。,,_
5083,下肢生瘡,4,下肢生瘡。,,_
5084,小便悶酸,4,？。,新,_
5085,下肢紫斑,4,下肢紫斑。,,_
5086,小便茶色,4,小便色棕。,新,_
5087,意識懶言,4,意識懶言。,,_
5088,排便成形,4,,新,_
5089,解便成型,4,,新,_
5090,續服上藥,4,,新,_
5091,小便如常,4,,新,_
5092,排便成型,4,,新,_
5093,下腹痙攣,4,下腹痙攣。,,_
5094,小便微泡,4,？。,新,_
5095,乳房結塊,4,乳房結塊。,,_
5096,下腹腫脹,4,下腹腫脹。,,_
5097,意識譫妄,4,意識譫妄。,,_
5098,脈弦弱澀,4,脈緊度緊。脈長度長。脈力度弱。脈利度澀。脈幅異常。,脈診,
5099,小便色暗,4,小便色棕。,新,_
5100,大便夾血,4,大便挾血。,新,_
5101,小便夾血,4,小便挾血。,新,_
5102,小便色深,4,小便色棕。,新,_
5103,脈弦澀大,4,脈緊度緊。脈長度長。脈利度澀。脈幅異常。脈寬度寬。,脈診,
5104,意識幻覺,4,意識幻覺。,,_
5105,脈沉細動,4,脈部位沉。脈寬度細。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
5106,下腹攣急,4,下腹攣急。,,_
5107,下肢生斑,4,下肢生斑。,,_
5108,下腹生斑,4,下腹生斑。,,_
5109,下肢生疹,4,下肢生疹。,,_
5110,大便斷續,4,？。,新,_
5111,大便數行,4,大便次多。,新,_
5112,全身灼熱,4,全身灼熱。,,_
5113,解便數次,4,大便次多。,新,_
5114,意識昏迷,4,意識昏迷。,,_
5115,意識煩躁,4,意識煩躁。,,_
5116,便解不淨,4,大便不盡。,新,_
5117,下肢潰瘍,4,下肢潰瘍。,,_
5118,便稍腹瀉,4,大便次多。大便質稀。,新,_
5119,脈洪大弦,4,脈寬度寬。脈寬度寬。脈緊度緊。脈長度長。,脈診,
5120,腹部悶感,4,腹脹。,新,_
5121,腰腳酸痛,4,腰酸。腰痛。下肢痛。下肢酸。,新,_
5122,脈沉細弱,4,脈部位沉。脈寬度細。脈力度弱。,脈診,
5123,脈沉稍滑,4,脈部位沉。脈利度滑。,脈診,
5124,脈沉稍澀,4,脈部位沉。脈利度澀。脈幅異常。,脈診,
5125,脈沉稍細,4,脈部位沉。脈寬度細。,脈診,
5126,脈沉稍緊,4,脈部位沉。脈緊度緊。,脈診,
5127,脈沉稍緩,4,脈部位沉。脈速度慢。,脈診,
5128,下肢浮腫,4,下肢浮腫。,,_
5129,意識痴呆,4,意識痴呆。,,_
5130,大便心悸,4,心悸。,新,_
5131,排便心悸,4,心悸。,新,_
5132,小便色赤,4,小便色紅。,新,_
5133,意識懶動,4,意識懶動。,,_
5134,便無惡臭,4,,新,_
5135,小便異味,4,小便異味。,,_
5136,小便無泡,4,,新,_
5137,小腿無力,4,小腿無力。,,_
5138,脈沉細滑,4,脈部位沉。脈寬度細。脈利度滑。,脈診,
5139,脈沉細澀,4,脈部位沉。脈寬度細。脈利度澀。脈幅異常。,脈診,
5140,意識恍惚,4,意識恍惚。,,_
5141,手足不麻,4,,新,_
5142,下腹墜脹,4,下腹墜脹。,,_
5143,下肢麻木,4,下肢麻木。,,_
5144,意識發狂,4,意識發狂。,,_
5145,沒有便意,4,大便次少。,新,_
5146,便意稍可,4,,新,_
5147,少有便意,4,大便次少。,新,_
5148,下肢無力,4,下肢無力。,,_
5149,大便微硬,4,大便質硬。,新,_
5150,大便微血,4,大便挾血。,新,_
5151,大便微軟,4,大便質稀。,新,_
5152,解便微軟,4,大便質稀。,新,_
5153,小便微黃,4,小便色黃。,新,_
5154,小便改善,4,,新,_
5155,排便改善,4,,新,_
5156,大便改善,4,,新,_
5157,惡露色紫,4,惡露色紫。,,_
5158,解便色暗,4,大便色黑。,新,_
5159,便較有力,4,,新,_
5160,意識懶散,4,意識懶散。,,_
5161,大便色青,4,大便色綠。,新,_
5162,下肢腫脹,4,下肢腫脹。,,_
5163,小便色重,4,？。,新,_
5164,解便情況,4,,新,_
5165,全身腫脹,4,全身腫脹。,,_
5166,全身癱瘓,4,全身癱瘓。,,_
5167,全身無力,4,全身無力。,,_
5168,小便酸痛,4,小便疼痛。,新,_
5169,惡露色紅,4,惡露色紅。,,_
5170,便稍難解,4,大便不暢。,新,_
